"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-03","Mar-1965","IDX","Index","0","Units",,,101.1736,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-04","Apr-1965","IDX","Index","0","Units",,,101.1307,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-05","May-1965","IDX","Index","0","Units",,,101.0642,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-06","Jun-1965","IDX","Index","0","Units",,,101.0023,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-07","Jul-1965","IDX","Index","0","Units",,,100.9806,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-08","Aug-1965","IDX","Index","0","Units",,,101.017,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-09","Sep-1965","IDX","Index","0","Units",,,101.1178,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-10","Oct-1965","IDX","Index","0","Units",,,101.272,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-11","Nov-1965","IDX","Index","0","Units",,,101.4537,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1965-12","Dec-1965","IDX","Index","0","Units",,,101.6281,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-01","Jan-1966","IDX","Index","0","Units",,,101.7522,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-02","Feb-1966","IDX","Index","0","Units",,,101.7808,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-03","Mar-1966","IDX","Index","0","Units",,,101.6908,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-04","Apr-1966","IDX","Index","0","Units",,,101.4829,,
"LOLITOAA","Amplitude adjusted (CLI)","USA","United States","M","Monthly","1966-05","May-1966","IDX","Index","0","Units",,,101.1799,,
